title,genre,youtube_url,title_clean,lyrics
Guns N' Roses - November Rain,rock,https://www.youtube.com/watch?v=8SbUC-UaAxE,Guns N' Roses November Rain,"When I look into your eyes I can see a love restrained But, darlin', when I hold you Don't you know I feel the same? Yeah Nothin' lasts forever And we both know hearts can change And it's hard to hold a candle In the cold November rain We've been through this such a long, long time Just tryna kill the pain, ooh yeah But lovers always come and lovers always go And no one's really sure who's lettin' go today, walkin' away If we could take the time to lay it on the line I could rest my head, just knowin' that you were mine, all mine So, if you want to love me Then, darlin', don't refrain Or I'll just end up walkin' In the cold November rain Do you need some time on your own? Do you need some time all alone? Ooh, everybody needs some time on their own Ooh, don't you know you need some time all alone? I know it's hard to keep an open heart When even friends seem out to harm you But if you could heal a broken heart Wouldn't time be out to charm you, woah-woah Sometimes, I need some time on my own Sometimes, I need some time all alone Ooh, everybody needs some time on their own Ooh, don't you know you need some time all alone? And when your fears subside And shadows still remain, ooh yeah I know that you can love me When there's no one left to blame So, never mind the darkness We still can find a way 'Cause nothin' lasts forever Even cold November rain (You're not the only one, you're not the only one) Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody You're not the only one, you're not the only one Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody You're not the only one, you're not the only one Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody You're not the only one, you're not the only one Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody"
4 Non Blondes - What's Up (Official Music Video),rock,https://www.youtube.com/watch?v=6NXnxTNIWkc,4 Non Blondes What's Up,"25 years and my life is still Tryin' to get up that great big hill of hope For a destination I realized quickly when I knew I should That the world was made up of this brotherhood of man For whatever that means And so I cry sometimes when I'm lying in bed Just to get it all out what's in my head And I, I am feeling a little peculiar And so I wake in the morning and I step outside And I take a deep breath and I get real high And I scream from the top of my lungs ""What's going on?"" And I say, hey-ey-ey Hey-ey-ey I said ""Hey, a-what's going on?"" And I say, hey-ey-ey Hey-ey-ey I said ""Hey, a-what's going on?"" Ooh, ooh Ooh Ooh, uh huh Ooh, ooh Ooh Ooh, uh huh And I try Oh my God, do I try I try all the time In this institution And I pray Oh my God, do I pray I pray every single day For revolution And so I cry sometimes when I'm lying in bed Just to get it all out, what's in my head And I, I am feeling a little peculiar And so I wake in the morning and I step outside And I take a deep breath and I get real high And I scream from the top of my lungs ""What's going on?"" And I say, hey-ey-ey Hey-ey-ey I said ""Hey, what's going on?"" And I say, hey-ey-ey Hey-ey-ey I said ""Hey, a-what's going on?"" And I say, hey-ey-ey (Wake in the morning and step outside) Hey-ey-ey (Take a deep breath and I get real high) (And I scream) I said ""Hey, a-what's going on?"" And I say, hey-ey-ey (Wake in the morning and step outside) Hey-ey, yeah yeah yeah (Take a deep breath and I get real high) (And I scream) I said ""Hey, a-what's going on?"" Ooh, ooh Ooh Ooh, uh huh 25 years and my life is still Tryin' to get up that great big hill of hope For a destination, mmm"
Guns N' Roses - Sweet Child O' Mine (Official Music Video),rock,https://www.youtube.com/watch?v=1w7OgIMMRc4,Guns N' Roses Sweet Child O' Mine,"She's got a smile that it seems to me Reminds me of childhood memories Where everything was as fresh as the bright blue sky (Sky) Now and then when I see her face She takes me away to that special place And if I stared too long, I'd probably break down and cry Woah, oh, oh Sweet child o' mine Woah, oh, oh, oh Sweet love of mine She's got eyes of the bluest skies As if they thought of rain I'd hate to look into those eyes and see an ounce of pain Her hair reminds me of a warm, safe place Where, as a child, I'd hide And pray for the thunder and the rain to quietly pass me by Woah, oh, oh Sweet child o' mine Woah woah, oh, oh, oh Sweet love of mine Ooh! Oh, oh-oh-yeah Woah, yeah Woah, oh, h-o Sweet child of mine Woah-oh, woah-oh Sweet love of mine Woah, oh-oh-oh Sweet child of mine, ooh, yeah Ooh-ooh-ooh-ooh Sweet love of mine Where do we go? Where do we go now? Where do we go? Mm-mm, oh, where do we go? Where do we go now? Oh, where do we go now? (Where do we go?) Where do we go? (Sweet child of mine) Mm-huh, where do we go now? Aye, aye, aye, aye, aye, aye, aye (Where do we go? Where do we go?) Ooh, where do we go now? (Where do we go?) Oh-oh-oh-oh-oh, oh-oh, woah Where do we go? Oh-oh, where do we go now? (Oh) Where do we go, oh-oh-oh-oh? (Oh, wow) Where do we go now? Where do we go? Woah-oh, where do we go now? No, no, no, no, no, no, no Sweet child Sweet child of mine"
The Cranberries - Zombie (Official Music Video),rock,https://www.youtube.com/watch?v=6Ejga4kJUts,The Cranberries Zombie,"Another head hangs lowly Child is slowly taken And the violence caused such silence Who are we, mistaken? But you see, it's not me, it's not my family In your head, in your head, they are fightin' With their tanks and their bombs and their bombs and their guns In your head, in your head, they are cryin' In your head, in your head Zombie, zombie, zombie-ie-ie What's in your head, in your head? Zombie, zombie, zombie-ie-ie-ie, oh Doo, doo, doo, doo Doo, doo, doo, doo Doo, doo, doo, doo Doo, doo, doo, doo Another mother's breakin' Heart is takin' over When the violence causes silence We must be mistaken It's the same old theme, since 1916 In your head, in your head, they're still fightin' With their tanks and their bombs and their bombs and their guns In your head, in your head, they are dyin' In your head, in your head Zombie, zombie, zombie-ie-ie What's in your head, in your head? Zombie, zombie, zombie-ie-ie-ie Oh-oh-oh-oh, oh-oh-oh, eh-eh-oh, ya-ya"
AC/DC - Thunderstruck (Official Video),rock,https://www.youtube.com/watch?v=v2AC41dglnM,ACDC Thunderstruck,"Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Thunder, ah-ah, ah-ah-ah Thunder, ah-ah, ah-ah-ah Thunder, ah-ah, ah-ah-ah Thunder, ah-ah, ah-ah-ah Thunder, ah-ah, ah-ah-ah Thunder, ah-ah, ah-ah-ah Thunder Thunder Thunder Thunder I was caught in the middle of a railroad track (Thunder) I looked 'round and I knew there was no turnin' back (Thunder) My mind raced and I thought, ""What could I do?"" (Thunder) And I knew there was no help, no help from you (Thunder) Sound of the drums beatin' in my heart The thunder of guns, yeah, tore me apart You've been Thunderstruck Went down the highway, broke the limit, we hit the town Went through to Texas, yeah, Texas, and we had some fun We met some girls, some dancers who gave a good time Broke all the rules, played all the fools Yeah, yeah, they, they, they blew our minds And I was shakin' at the knees Could I come again, please? Yeah, the ladies were too kind You've been Thunderstruck Thunderstruck Yeah, yeah, yeah, thunderstruck Ooh, thunderstruck Yeah I was shakin' at the knees Could I come again, please? Yow Ooh, ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah Ah-ah, ah-ah-ah, yeah Ooh, thunderstruck Thunderstruck Yeah, yeah, yeah, thunderstruck Thunderstruck Yeah, yeah, yeah Said, yeah, it's all right We're doin' fine Yeah, it's all right We're doin' fine, so fine Thunderstruck Yeah, yeah, yeah, thunderstruck Thunderstruck (Thunderstruck) Whoa, baby, baby (Thunderstruck) You've been thunderstruck (Ah-ah, ah-ah-ah) Thunderstruck (Ah-ah, ah-ah-ah) Thunderstruck (Ah-ah, ah-ah-ah) Thunderstruck (Ah-ah, ah-ah-ah) You've been thunderstruck"
Metallica - Nothing Else Matters (Official Music Video),rock,https://www.youtube.com/watch?v=HyrWd_gfQNQ,Metallica Nothing Else Matters,"Never opened myself this way Life is ours, we live it our way All these words, I don't just say And nothing else matters Trust I seek and I find in you Every day for us something new Open mind for a different view And nothing else matters Never cared for what they do Never cared for what they know But I know So close, no matter how far It couldn't be much more from the heart Forever trusting who we are And nothing else matters Never cared for what they do Never cared for what they know But I know I never opened myself this way Life is ours, we live it our way All these words, I don't just say And nothing else matters Trust I seek and I find in you Every day for us something new Open mind for a different view And nothing else matters Never cared for what they say Never cared for games they play Never cared for what they do Never cared for what they know And I know, yeah, yeah So close, no matter how far Couldn't be much more from the heart Forever trusting who we are No, nothing else matters"
The Police - Every Breath You Take (Official Music Video),rock,https://www.youtube.com/watch?v=OMOGaugKpzs,The Police Every Breath You Take,"Every breath you take And every move you make Every bond you break, every step you take I'll be watching you Every single day And every word you say Every game you play, every night you stay I'll be watching you Oh, can't you see? You belong to me How my poor heart aches With every step you take Every move you make And every vow you break Every smile you fake, every claim you stake I'll be watching you Since you've gone, I've been lost without a trace I dream at night, I can only see your face I look around, but it's you I can't replace I feel so cold, and I long for your embrace I keep crying, baby, baby, please Mmm, mmm, mmm, mmm Mmm, mmm, mmm Oh, can't you see? You belong to me How my poor heart aches With every step you take Every move you make And every vow you break Every smile you fake, every claim you stake I'll be watching you Every move you make, every step you take I'll be watching you (250) I'll be watching you (Every breath you take, every move you make) (Every bond you break, every step you take) I'll be watching you (Every single day, every word you say) (Every game you play, every night you stay) I'll be watching you (Every move you make, every vow you break) (Every smile you fake, every claim you stake) I'll be watching you (Every single day, every word you say) (Every game you play, every night you stay) I'll be watching you (Every breath you take, every move you make) (Every bond you break, every step you take) I'll be watching you (Every single day, every word you say) (Every game you play, every night you stay) I'll be watching you (Every move you make, every vow you break) (Every smile you fake, every claim you stake) I'll be watching you (Every single day, every word you say) (Every game you play, every night you stay) I'll be watching you (Every breath you take, every move you make) (Every bond you break, every step you take) I'll be watching..."
R.E.M. - Losing My Religion (Official HD Music Video),rock,https://www.youtube.com/watch?v=xwtdhWltSIg,REM Losing My Religion,"Oh, life, it's bigger It's bigger than you And you are not me The lengths that I will go to The distance in your eyes Oh no, I've said too much I set it up That's me in the corner That's me in the spotlight Losin' my religion Tryin' to keep up with you And I don't know if I can do it Oh no, I've said too much I haven't said enough I thought that I heard you laughing I thought that I heard you sing I think I thought I saw you try Every whisper Of every waking hour I'm choosin' my confessions Tryin' to keep an eye on you Like a hurt, lost and blinded fool, fool Oh no, I've said too much I set it up Consider this Consider this, the hint of the century Consider this, the slip That brought me to my knees, failed What if all these fantasies come Flailing around Now, I've said too much I thought that I heard you laughing I thought that I heard you sing I think I thought I saw you try But that was just a dream That was just dream That's me in the corner That's me in the spotlight Losin' my religion Tryin' to keep up with you And I don't know if I can do it Oh no, I've said too much I haven't said enough I thought that I heard you laughing I thought that I heard you sing I think I thought I saw you try But that was just a dream Try, cry, why try? That was just a dream Just a dream Just a dream, dream"
Europe - The Final Countdown (Official Video),rock,https://www.youtube.com/watch?v=9jK-NcRmVcw,Europe The Final Countdown,"We're leaving together, but still, it's farewell And maybe we'll come back to Earth, who can tell? I guess there is no one to blame We're leaving ground (Leaving ground) Will things ever be the same again? It's the final countdown The final countdown Oh-oh, we're heading for Venus (Venus) And still, we stand tall 'Cause maybe they've seen us And welcome us all, yeah With so many light years to go And things to be found (To be found) I'm sure that we'll all miss her so It's the final countdown The final countdown The final countdown (Final countdown) Oh, oh-oh, oh-oh-ohh The final countdown, oh, oh It's the final countdown The final countdown The final countdown (Final countdown) Oh, it's the final countdown We're leaving together (The final countdown) We'll all miss her so It's the final countdown (Final countdown), oh It's the final countdown Yeah"
Bon Jovi - Livin' On A Prayer,rock,https://www.youtube.com/watch?v=lDK9QqIzhwk,Bon Jovi Livin' On A Prayer,"Once upon a time, not so long ago Tommy used to work on the docks Union's been on strike, he's down on his luck It's tough So tough Gina works the diner all day Workin' for her man, she brings home her pay For love Mm, for love She says, ""We've gotta hold on to what we've got It doesn't make a difference if we make it or not We've got each other and that's a lot for love We'll give it a shot"" Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand, we'll make it, I swear Woah-oh, livin' on a prayer Tommy's got his six-string in hock Now he's holdin' in, when he used to make it talk So tough Ooh, it's tough Gina dreams of runnin' away When she cries in the night, Tommy whispers ""Baby, it's okay Someday"" We've gotta hold on to what we've got It doesn't make a difference if we make it or not We've got each other and that's a lot for love We'll give it a shot Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand, we'll make it, I swear Woah-oh, livin' on a prayer, livin' on a prayer Ooh, we gotta hold on, ready or not You live for the fight when that's all that you've got Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand and we'll make it, I swear Woah-oh, livin' on a prayer Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand and we'll make it, I swear Woah-oh, livin' on a prayer Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand and we'll make it, I swear Woah-oh, livin' on a prayer"
