title,genre,youtube_url,title_clean,lyrics
Guns N' Roses - November Rain,rock,https://www.youtube.com/watch?v=8SbUC-UaAxE,Guns N' Roses November Rain,"88 ContributorsTranslationsBahasa IndonesiaNovember Rain LyricsThis piano ballad grand masterpiece became the signature song and the centerpiece of their simultaneous twin double album releases Use Your Illusion I and Use Your Illusion II.

Clocking in at almost 9… Read More [Instrumental Intro]

[Verse 1]
When I look into your eyes
I can see a love restrained
But, darlin', when I hold you
Don't you know I feel the same? Yeah

[Chorus]
Nothin' lasts forever
And we both know hearts can change
And it's hard to hold a candle
In the cold November rain

[Verse 2]
We've been through this such a long, long time
Just tryna kill the pain, ooh yeah
But lovers always come and lovers always go
And no one's really sure who's lettin' go today, walkin' away
If we could take the time to lay it on the line
I could rest my head, just knowin' that you were mine, all mine

[Chorus]
So, if you want to love me
Then, darlin', don't refrain
Or I'll just end up walkin'
In the cold November rain


[Refrain]
Do you need some time on your own?
Do you need some time all alone?
Ooh, everybody needs some time on their own
Ooh, don't you know you need some time all alone?

[Bridge]
I know it's hard to keep an open heart
When even friends seem out to harm you
But if you could heal a broken heart
Wouldn't time be out to charm you, woah-woah
[Guitar Solo]

[Refrain]
Sometimes, I need some time on my own
Sometimes, I need some time all alone
Ooh, everybody needs some time on their own
Ooh, don't you know you need some time all alone?
[Guitar Solo]

[Verse 3]
And when your fears subside
And shadows still remain, ooh yeah
I know that you can love me
When there's no one left to blame


[Chorus]
So, never mind the darkness
We still can find a way
'Cause nothin' lasts forever
Even cold November rain
[Guitar Solo]

[Outro]
(You're not the only one, you're not the only one)
Don't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody
You're not the only one, you're not the only one
Don't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody
You're not the only one, you're not the only one
Don't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody
You're not the only one, you're not the only one
Don't ya think that you need somebody?
Don't ya think that you need someone?
Everybody needs somebody"
Nirvana - Smells Like Teen Spirit (Official Music Video),rock,https://www.youtube.com/watch?v=hTWKbfoikeg,Nirvana Smells Like Teen Spirit,
4 Non Blondes - What's Up (Official Music Video),rock,https://www.youtube.com/watch?v=6NXnxTNIWkc,4 Non Blondes What's Up,"97 ContributorsTranslationsDeutschWhat’s Up? Lyrics“What’s Up” was the second single from the 1992 album Bigger, Better, Faster, More! by 4 Non Blondes. It shot the band into international stardom, topping the charts in seven countries, reaching #2 in three… Read More [Verse 1]
25 years and my life is still
Tryin' to get up that great big hill of hope
For a destination
I realized quickly when I knew I should
That the world was made up of this brotherhood of man
For whatever that means

[Pre-Chorus]
And so I cry sometimes when I'm lying in bed
Just to get it all out what's in my head
And I, I am feeling a little peculiar
And so I wake in the morning and I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
""What's going on?""

[Chorus]
And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, a-what's going on?""
And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, a-what's going on?""

[Bridge]
Ooh, ooh
Ooh
Ooh, uh huh
Ooh, ooh
Ooh
Ooh, uh huh


[Verse 2]
And I try
Oh my God, do I try
I try all the time
In this institution
And I pray
Oh my God, do I pray
I pray every single day
For revolution

[Pre-Chorus]
And so I cry sometimes when I'm lying in bed
Just to get it all out, what's in my head
And I, I am feeling a little peculiar
And so I wake in the morning and I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
""What's going on?""

[Chorus]
And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, what's going on?""
And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, a-what's going on?""
And I say, hey-ey-ey
(Wake in the morning and step outside)
Hey-ey-ey
(Take a deep breath and I get real high)
(And I scream)
I said ""Hey, a-what's going on?""
And I say, hey-ey-ey
(Wake in the morning and step outside)
Hey-ey, yeah yeah yeah
(Take a deep breath and I get real high)
(And I scream)
I said ""Hey, a-what's going on?""


[Bridge]
Ooh, ooh
Ooh
Ooh, uh huh

[Outro]
25 years and my life is still
Tryin' to get up that great big hill of hope
For a destination, mmm"
Queen – Bohemian Rhapsody (Official Video Remastered),rock,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,Queen Bohemian Rhapsody,
Guns N' Roses - Sweet Child O' Mine (Official Music Video),rock,https://www.youtube.com/watch?v=1w7OgIMMRc4,Guns N' Roses Sweet Child O' Mine,"125 ContributorsTranslationsBahasa IndonesiaSweet Child O’ Mine Lyrics“Sweet Child O’ Mine” is the 9th track of Guns N’ Roses’ debut album Appetite for Destruction. The song became GNR’s most successful single, topping the Billboard Hot 100.

The guitar solo was ranked as the… Read More [Instrumental Intro/Guitar Riff]

[Verse 1]
She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky (Sky)
Now and then when I see her face
She takes me away to that special place
And if I stared too long, I'd probably break down and cry

[Chorus]
Woah, oh, oh
Sweet child o' mine
Woah, oh, oh, oh
Sweet love of mine
[Instrumental Break]

[Verse 2]
She's got eyes of the bluest skies
As if they thought of rain
I'd hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where, as a child, I'd hide
And pray for the thunder and the rain to quietly pass me by


[Chorus]
Woah, oh, oh
Sweet child o' mine
Woah woah, oh, oh, oh
Sweet love of mine
[Instrumental Break]
Ooh!

[Chorus]
Oh, oh-oh-yeah
Woah, yeah
Woah, oh, h-o
Sweet child of mine
Woah-oh, woah-oh
Sweet love of mine
Woah, oh-oh-oh
Sweet child of mine, ooh, yeah
Ooh-ooh-ooh-ooh
Sweet love of mine
[Guitar Solo]

[Outro]
Where do we go?
Where do we go now?
Where do we go?
Mm-mm, oh, where do we go?
Where do we go now?
Oh, where do we go now? (Where do we go?)
Where do we go? (Sweet child of mine)
Mm-huh, where do we go now?
Aye, aye, aye, aye, aye, aye, aye (Where do we go? Where do we go?)
Ooh, where do we go now? (Where do we go?)
Oh-oh-oh-oh-oh, oh-oh, woah
Where do we go?
Oh-oh, where do we go now?
(Oh) Where do we go, oh-oh-oh-oh? (Oh, wow)
Where do we go now?
Where do we go?
Woah-oh, where do we go now?
No, no, no, no, no, no, no
Sweet child
Sweet child of mine"
The Cranberries - Zombie (Official Music Video),rock,https://www.youtube.com/watch?v=6Ejga4kJUts,The Cranberries Zombie,"205 ContributorsTranslationsEspañolFrançaisDeutschČeskyTürkçeDeutschZombie LyricsThe Cranberries describe the violence in “The Troubles,” the decades-long conflict in Northern Ireland between nationalists (mainly self-identified as Irish or Roman Catholic) and unionists (mainly… Read More [Verse 1]
Another head hangs lowly
Child is slowly taken
And the violence caused such silence
Who are we, mistaken?

[Pre-Chorus]
But you see, it's not me, it's not my family
In your head, in your head, they are fightin'
With their tanks and their bombs and their bombs and their guns
In your head, in your head, they are cryin'

[Chorus]
In your head, in your head
Zombie, zombie, zombie-ie-ie
What's in your head, in your head?
Zombie, zombie, zombie-ie-ie-ie, oh

[Post-Chorus]
Doo, doo, doo, doo
Doo, doo, doo, doo
Doo, doo, doo, doo
Doo, doo, doo, doo

[Verse 2]
Another mother's breakin'
Heart is takin' over
When the violence causes silence
We must be mistaken


[Pre-Chorus]
It's the same old theme, since 1916
In your head, in your head, they're still fightin'
With their tanks and their bombs and their bombs and their guns
In your head, in your head, they are dyin'

[Chorus]
In your head, in your head
Zombie, zombie, zombie-ie-ie
What's in your head, in your head?
Zombie, zombie, zombie-ie-ie-ie
Oh-oh-oh-oh, oh-oh-oh, eh-eh-oh, ya-ya

[Instrumental Outro]"
AC/DC - Thunderstruck (Official Video),rock,https://www.youtube.com/watch?v=v2AC41dglnM,ACDC Thunderstruck,"78 ContributorsTranslationsTürkçeDeutschThunderstruck Lyrics“Thunderstruck” was released as the lead single off of The Razors Edge. It is one of the most well known and popular AC/DC songs and has been performed at every AC/DC concert since its release. It is the only… Read More [Intro]
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder
Thunder
Thunder
Thunder

[Verse 1]
I was caught in the middle of a railroad track (Thunder)
I looked 'round and I knew there was no turnin' back (Thunder)
My mind raced and I thought, ""What could I do?"" (Thunder)
And I knew there was no help, no help from you (Thunder)
Sound of the drums beatin' in my heart
The thunder of guns, yeah, tore me apart


[Refrain]
You've been
Thunderstruck
[Verse 2]
Went down the highway, broke the limit, we hit the town
Went through to Texas, yeah, Texas, and we had some fun
We met some girls, some dancers who gave a good time
Broke all the rules, played all the fools
Yeah, yeah, they, they, they blew our minds

[Pre-Chorus]
And I was shakin' at the knees
Could I come again, please?
Yeah, the ladies were too kind

[Chorus]
You've been
Thunderstruck
Thunderstruck
Yeah, yeah, yeah, thunderstruck
Ooh, thunderstruck
Yeah

[Post-Chorus]
I was shakin' at the knees
Could I come again, please? Yow


[Guitar Solo]

[Pre-Chorus]
Ooh, ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah, yeah

[Chorus]
Ooh, thunderstruck
Thunderstruck
Yeah, yeah, yeah, thunderstruck
Thunderstruck
Yeah, yeah, yeah

[Bridge]
Said, yeah, it's all right
We're doin' fine
Yeah, it's all right
We're doin' fine, so fine

[Chorus]
Thunderstruck
Yeah, yeah, yeah, thunderstruck
Thunderstruck (Thunderstruck)
Whoa, baby, baby (Thunderstruck)
You've been thunderstruck
(Ah-ah, ah-ah-ah) Thunderstruck
(Ah-ah, ah-ah-ah) Thunderstruck
(Ah-ah, ah-ah-ah) Thunderstruck
(Ah-ah, ah-ah-ah) You've been thunderstruck"
Metallica - Nothing Else Matters (Official Music Video),rock,https://www.youtube.com/watch?v=HyrWd_gfQNQ,Metallica Nothing Else Matters,"117 ContributorsTranslationsPolskiDeutschPortuguêsNederlandsTürkçeNothing Else Matters LyricsOn their controversial self-titled album which came to be known as the Black Album, “Nothing Else Matters” was perhaps the greatest example of the new Metallica sound that alienated core fans. Frontman James… Read More [Instrumental Intro]

[Refrain]
So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
And nothing else matters

[Verse]
Never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

[Chorus]
Never cared for what they do
Never cared for what they know
But I know

[Refrain]
So close, no matter how far
It couldn't be much more from the heart
Forever trusting who we are
And nothing else matters


[Chorus]
Never cared for what they do
Never cared for what they know
But I know

[Instrumental Break]

[Verse]
I never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

[Chorus]
Never cared for what they say
Never cared for games they play
Never cared for what they do
Never cared for what they know
And I know, yeah, yeah
[Guitar Solo]


[Refrain]
So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
No, nothing else matters
[Instrumental Outro]"
The Police - Every Breath You Take (Official Music Video),rock,https://www.youtube.com/watch?v=OMOGaugKpzs,The Police Every Breath You Take,"103 ContributorsTranslationsDeutschEvery Breath You Take Lyrics“Every Breath You Take” is, to this day, still perceived to be a love song. However, the lyrics are actually spoken from a character with sinister intent. During the time Sting wrote this song, he had just… Read More [Verse 1]
Every breath you take
And every move you make
Every bond you break, every step you take
I'll be watching you
[Verse 2]
Every single day
And every word you say
Every game you play, every night you stay
I'll be watching you

[Chorus]
Oh, can't you see?
You belong to me
How my poor heart aches
With every step you take

[Post-Chorus]
Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watching you

[Bridge]
Since you've gone, I've been lost without a trace
I dream at night, I can only see your face
I look around, but it's you I can't replace
I feel so cold, and I long for your embrace
I keep crying, baby, baby, please


[Interlude]
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm

[Chorus]
Oh, can't you see?
You belong to me
How my poor heart aches
With every step you take

[Post-Chorus]
Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watching you
Every move you make, every step you take
I'll be watching you (250)

[Outro]
I'll be watching you
(Every breath you take, every move you make)
(Every bond you break, every step you take)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every move you make, every vow you break)
(Every smile you fake, every claim you stake)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every breath you take, every move you make)
(Every bond you break, every step you take)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every move you make, every vow you break)
(Every smile you fake, every claim you stake)
I'll be watching you
(Every single day, every word you say)
(Every game you play, every night you stay)
I'll be watching you
(Every breath you take, every move you make)
(Every bond you break, every step you take)
I'll be watching..."
R.E.M. - Losing My Religion (Official HD Music Video),rock,https://www.youtube.com/watch?v=xwtdhWltSIg,REM Losing My Religion,"117 ContributorsLosing My Religion Lyrics“Losing My Religion” was released as a single in February 1991, in advance of R.E.M.’s album, Out of Time, where it appeared as the second track.

It became R.E.M’s biggest hit, reaching #4 on the Billboard… Read More [Instrumental Intro]

[Verse 1]
Oh, life, it's bigger
It's bigger than you
And you are not me
The lengths that I will go to
The distance in your eyes
Oh no, I've said too much
I set it up
That's me in the corner
That's me in the spotlight
Losin' my religion
Tryin' to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough
[Chorus]
I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

[Verse 2]
Every whisper
Of every waking hour
I'm choosin' my confessions
Tryin' to keep an eye on you
Like a hurt, lost and blinded fool, fool
Oh no, I've said too much
I set it up


[Pre-Chorus]
Consider this
Consider this, the hint of the century
Consider this, the slip
That brought me to my knees, failed
What if all these fantasies come
Flailing around
Now, I've said too much

[Chorus]
I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

[Bridge]
But that was just a dream
That was just dream

[Verse 3]
That's me in the corner
That's me in the spotlight
Losin' my religion
Tryin' to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough


[Chorus]
I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

[Outro]
But that was just a dream
Try, cry, why try?
That was just a dream
Just a dream
Just a dream, dream"
